Num Hilos;Ticks;Resultado
1;30.616;6.054,27
2;41.117;6.054,27
3;30.219;6.054,27
4;21.598;6.054,27
5;29.327;6.054,27
6;26.606;6.054,27
7;25.969;6.054,27
8;22.100;6.054,27
9;22.593;6.054,27
10;26.019;6.054,27
11;24.076;6.054,27
12;22.286;6.054,27
13;20.510;6.054,27
14;20.987;6.054,27
15;16.436;6.054,27
16;20.844;6.054,27
17;21.297;6.054,27
18;17.137;6.054,27
19;14.435;6.054,27
20;16.984;6.054,27
21;16.406;6.054,27
22;16.470;6.054,27
23;17.719;6.054,27
24;16.175;6.054,27
25;17.989;6.054,27
26;16.556;6.054,27
27;18.301;6.054,27
28;17.351;6.054,27
29;16.575;6.054,27
30;17.757;6.054,27
31;19.348;6.054,27
32;19.179;6.054,27
33;17.766;6.054,27
34;17.735;6.054,27
35;18.623;6.054,27
36;18.169;6.054,27
37;20.538;6.054,27
38;19.004;6.054,27
39;22.071;6.054,27
40;19.988;6.054,27
41;20.039;6.054,27
42;21.669;6.054,27
43;22.946;6.054,27
44;23.547;6.054,27
45;25.648;6.054,27
46;25.575;6.054,27
47;23.719;6.054,27
48;25.715;6.054,27
49;26.868;6.054,27
50;27.936;6.054,27
