Num Hilos;Ticks;Resultado
1;30.986;6.055,84
2;40.385;6.055,84
3;23.970;6.055,84
4;20.676;6.055,84
5;30.141;6.055,84
6;26.984;6.055,84
7;25.248;6.055,84
8;24.075;6.055,84
9;24.876;6.055,84
10;25.931;6.055,84
11;22.124;6.055,84
12;22.835;6.055,84
13;23.201;6.055,84
14;18.326;6.055,84
15;17.056;6.055,84
16;22.504;6.055,84
17;19.528;6.055,84
18;16.947;6.055,84
19;16.392;6.055,84
20;15.238;6.055,84
21;16.386;6.055,84
22;16.556;6.055,84
23;19.819;6.055,84
24;19.845;6.055,84
25;19.073;6.055,84
26;16.973;6.055,84
27;17.503;6.055,84
28;18.604;6.055,84
29;15.773;6.055,84
30;18.360;6.055,84
31;20.261;6.055,84
32;17.349;6.055,84
33;19.863;6.055,84
34;17.503;6.055,84
35;19.721;6.055,84
36;18.787;6.055,84
37;18.641;6.055,84
38;20.088;6.055,84
39;22.855;6.055,84
40;20.468;6.055,84
41;19.837;6.055,84
42;20.834;6.055,84
43;22.191;6.055,84
44;22.248;6.055,84
45;23.160;6.055,84
46;24.009;6.055,84
47;24.023;6.055,84
48;25.626;6.055,84
49;26.161;6.055,84
50;26.288;6.055,84
